strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
LASV_H-sapiens-wt_NGA_2018_IRR_066_I_MK117857_2018-02-10	Mammarenavirus lassaense	S	Homo sapiens	MK117857	2018-02-10	Nigeria: EDO	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117857	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_072_I_MK117858_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MK117858	2018-02-12	Nigeria: ONDO	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117858	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_073_I_MK117859_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MK117859	2018-02-12	Nigeria: ANAMBRA	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117859	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_075_I_MK117861_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MK117861	2018-02-12	Nigeria: EDO	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117861	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_115_I_MK117862_2018-02-21	Mammarenavirus lassaense	S	Homo sapiens	MK117862	2018-02-21	Nigeria: DELTA	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117862	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_119_I_MK117863_2018-02-25	Mammarenavirus lassaense	S	Homo sapiens	MK117863	2018-02-25	Nigeria: EDO	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117863	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_126_I_MK117864_2018-02-28	Mammarenavirus lassaense	S	Homo sapiens	MK117864	2018-02-28	Nigeria: ONDO	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117864	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
LASV_H-sapiens-wt_NGA_2018_IRR_131_I_MK117865_2018-03-01	Mammarenavirus lassaense	S	Homo sapiens	MK117865	2018-03-01	Nigeria: EDO	Nigeria	BioProject: PRJNA482058	Kafetzopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/MK117865	Metagenomic sequencing at the epicenter of the Nigeria 2018 Lassa	Unpublished	MISSING
Nig12-17_LC387468_2012-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387468	2012-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387468	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig13-04_LC387470_2013-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387470	2013-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387470	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig14-03_LC387472_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387472	2014-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387472	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig14-04_LC387474_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387474	2014-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387474	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig14-06_LC387476_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387476	2014-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387476	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig14-09_LC387478_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387478	2014-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387478	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig14-19_LC387480_2014-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387480	2014-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387480	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig16-02_LC387482_2016-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387482	2016-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387482	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig16-11_LC387484_2016-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387484	2016-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387484	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig16-13_LC387486_2016-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387486	2016-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387486	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig16-14_LC387488_2016-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC387488	2016-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC387488	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
Nig16-10_LC388592_2016-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	LC388592	2016-XX-XX	Nigeria: Ebonyi State	Nigeria	MISSING	Oloniniyi et al	https://www.ncbi.nlm.nih.gov/nuccore/LC388592	Genetic characterization of Lassa virus strains isolated from 2012	PLoS Negl Trop Dis 12 (11), e0006971 (2018)	https://pubmed.ncbi.nlm.nih.gov/30500827
H-sapiens-wt_NGA_2018_LASV0194-EDO-2018_MH887755_2018-02-17	Mammarenavirus lassaense	S	Homo sapiens	MH887755	2018-02-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887755	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0105-ONDO-2017_MH887757_2017-12-17	Mammarenavirus lassaense	S	Homo sapiens	MH887757	2017-12-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887757	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0096-ONDO-2017_MH887758_2017-09-18	Mammarenavirus lassaense	S	Homo sapiens	MH887758	2017-09-18	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887758	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0208-EDO-2018_MH887759_2018-03-01	Mammarenavirus lassaense	S	Homo sapiens	MH887759	2018-03-01	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887759	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0212-EDO-2018_MH887760_2018-03-11	Mammarenavirus lassaense	S	Homo sapiens	MH887760	2018-03-11	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887760	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0093-EDO-2017_MH887761_2017-08-19	Mammarenavirus lassaense	S	Homo sapiens	MH887761	2017-08-19	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887761	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0215-ONDO-2018_MH887762_2018-03-21	Mammarenavirus lassaense	S	Homo sapiens	MH887762	2018-03-21	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887762	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0075-EDO-2017_MH887763_2017-03-15	Mammarenavirus lassaense	S	Homo sapiens	MH887763	2017-03-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887763	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0144-ONDO-2018_MH887764_2018-01-23	Mammarenavirus lassaense	S	Homo sapiens	MH887764	2018-01-23	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887764	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0138-KOGI-2018_MH887765_2018-01-17	Mammarenavirus lassaense	S	Homo sapiens	MH887765	2018-01-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887765	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0129-ONDO-2018_MH887766_2018-01-13	Mammarenavirus lassaense	S	Homo sapiens	MH887766	2018-01-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887766	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0158-EDO-2018_MH887767_2018-02-06	Mammarenavirus lassaense	S	Homo sapiens	MH887767	2018-02-06	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887767	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0192-ONDO-2018_MH887768_2018-02-16	Mammarenavirus lassaense	S	Homo sapiens	MH887768	2018-02-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887768	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0193-2-DELTA-2018_MH887769_2018-02-21	Mammarenavirus lassaense	S	Homo sapiens	MH887769	2018-02-21	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887769	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0119-EDO-2018_MH887770_2018-01-09	Mammarenavirus lassaense	S	Homo sapiens	MH887770	2018-01-09	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887770	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0147-EDO-2018_MH887771_2018-01-26	Mammarenavirus lassaense	S	Homo sapiens	MH887771	2018-01-26	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887771	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0101-EDO-2017_MH887772_2017-11-10	Mammarenavirus lassaense	S	Homo sapiens	MH887772	2017-11-10	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887772	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0109-ONDO-2017_MH887773_2017-12-18	Mammarenavirus lassaense	S	Homo sapiens	MH887773	2017-12-18	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887773	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0191-ONDO-2018_MH887774_2018-02-15	Mammarenavirus lassaense	S	Homo sapiens	MH887774	2018-02-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887774	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0156-ONDO-2018_MH887775_2018-02-05	Mammarenavirus lassaense	S	Homo sapiens	MH887775	2018-02-05	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887775	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0124-UNKNOWN-2018_MH887776_2018-01-13	Mammarenavirus lassaense	S	Homo sapiens	MH887776	2018-01-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887776	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0216-EDO-2018_MH887777_2018-03-23	Mammarenavirus lassaense	S	Homo sapiens	MH887777	2018-03-23	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887777	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0079-EDO-2017_MH887778_2017-05-15	Mammarenavirus lassaense	S	Homo sapiens	MH887778	2017-05-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887778	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0155-2-EDO-2018_MH887779_2018-02-16	Mammarenavirus lassaense	S	Homo sapiens	MH887779	2018-02-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887779	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0172-ONDO-2018_MH887780_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH887780	2018-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887780	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0128-ONDO-2018_MH887781_2018-01-14	Mammarenavirus lassaense	S	Homo sapiens	MH887781	2018-01-14	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887781	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0197-EDO-2018_MH887782_2018-02-19	Mammarenavirus lassaense	S	Homo sapiens	MH887782	2018-02-19	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887782	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0209-KOGI-2018_MH887785_2018-03-02	Mammarenavirus lassaense	S	Homo sapiens	MH887785	2018-03-02	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887785	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0141-EDO-2018_MH887786_2018-01-19	Mammarenavirus lassaense	S	Homo sapiens	MH887786	2018-01-19	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887786	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0081-EDO-2017_MH887787_2017-06-05	Mammarenavirus lassaense	S	Homo sapiens	MH887787	2017-06-05	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887787	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0107-ONDO-2017_MH887788_2017-12-17	Mammarenavirus lassaense	S	Homo sapiens	MH887788	2017-12-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887788	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0090-ONDO-2017_MH887789_2017-07-19	Mammarenavirus lassaense	S	Homo sapiens	MH887789	2017-07-19	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887789	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0120-ONDO-2018_MH887790_2018-01-11	Mammarenavirus lassaense	S	Homo sapiens	MH887790	2018-01-11	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887790	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0106-ONDO-2017_MH887791_2017-12-17	Mammarenavirus lassaense	S	Homo sapiens	MH887791	2017-12-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887791	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0180-UNKNOWN-2018_MH887792_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887792	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887792	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0065-ONDO-2017_MH887793_2017-01-09	Mammarenavirus lassaense	S	Homo sapiens	MH887793	2017-01-09	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887793	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0112-ONDO-2017_MH887795_2017-12-29	Mammarenavirus lassaense	S	Homo sapiens	MH887795	2017-12-29	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887795	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0160-KOGI-2018_MH887796_2018-02-06	Mammarenavirus lassaense	S	Homo sapiens	MH887796	2018-02-06	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887796	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0103-EDO-2017_MH887797_2017-11-29	Mammarenavirus lassaense	S	Homo sapiens	MH887797	2017-11-29	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887797	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0199-2-EDO-2018_MH887798_2018-02-25	Mammarenavirus lassaense	S	Homo sapiens	MH887798	2018-02-25	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887798	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0165-EBONYI-2018_MH887799_2018-02-10	Mammarenavirus lassaense	S	Homo sapiens	MH887799	2018-02-10	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887799	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0082-EDO-2017_MH887800_2017-06-07	Mammarenavirus lassaense	S	Homo sapiens	MH887800	2017-06-07	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887800	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0083-ONDO-2017_MH887801_2017-06-13	Mammarenavirus lassaense	S	Homo sapiens	MH887801	2017-06-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887801	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0192-2-ONDO-2018_MH887802_2018-02-28	Mammarenavirus lassaense	S	Homo sapiens	MH887802	2018-02-28	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887802	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0207-ONDO-2018_MH887803_2018-02-28	Mammarenavirus lassaense	S	Homo sapiens	MH887803	2018-02-28	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887803	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0123-ONDO-2018_MH887804_2018-01-12	Mammarenavirus lassaense	S	Homo sapiens	MH887804	2018-01-12	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887804	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0117-ONDO-2018_MH887805_2018-01-07	Mammarenavirus lassaense	S	Homo sapiens	MH887805	2018-01-07	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887805	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
